,Unnamed: 0,Tweets,target
49,50,covid19 vaccine chinacoronaviruspandemic ccpvirus new coronavirus variant  skull_and_crossbones  the chinese communist party (ccp) as a transnational organized crime group  clown_face  orwellian social credit system,positive
50,51,offers consolidated vaccine info like eligibility registration and resources in spanish chinese portuguese and vietnamese,neutral
51,52,the chinese regime has been touting the effectiveness of chinese made vaccines and claimed that all representatives attending beijing’s twosessions had received a covid19 vaccine before the political meeting  fire watch here  backhand_index_pointing_right,positive
52,53,at morinmoss at sillybear2014 at nytimes are you kidding me chinese scientists published genome info on international platform on jan 13 2020 pfizer/biontech began vaccine development using data posted by chinese scientists on jan 14 2020 ( if i remember correctly) if you think trump is honest inject disinfectant,neutral
53,54,cybersecurity in lt of china’s alleged attempts to steal information from indian vaccine producers chinese hackers paralyzing mumbai’s electric grid sharing my article on “cyber warfare grips the world can there be cyber peace ” at asthana shashi,neutral
54,55,am i imaging things or did that fat fool say we’re going to have vaccine passports (“papers” in overt police states) —otherwise known as the chinese social credit system if you support this avoid me in real life because i mean you harm you fascist shit,negative
55,56,at sandraweeden chinese vaccine has the attenuated virus (because the chinese aren’t retarded),neutral
56,57,i'm astonished people are saying we need to use the chinese covid vaccine because it has tcm and is better for our body i'm ctfu,positive
57,58,chinesehackers may have stolen europeanvaccinedata russian,neutral
58,59,speaking tonight with dr steve itugbu chaired by professor steve tsang on chinese vaccine diplomacy,neutral
59,60,russian chinese hackers may have stolen european vaccine data via at yahoo,neutral
60,61,at potus im not wearing a mask i'm not socially distancing i'm sure as hell am not taking that chinese/russian poisonous vaccine  United_States,positive
61,62,that fake conspiracy theory timetable chart doing the rounds last spring turned out to be accurate didn't it they said it's about vaccine passports which will be pivoted into a chinese style social credit system it's happening before our eyes and they're getting away with it,positive
62,63,at adamscrabble sounds true just last week goi announced that chinese hackers tried to hack two covid vaccine manufacturer patents though it went unsuccessful,positive
63,64,at sarwar kashmeri at shujanawaz at atlanticcouncil at toimumbai at wsj at xhnews at dawn com at federicorampini btw the chinese scientist who shared the data with us so we could work on the vaccine had his lab closed down for a while by chinese government 2/,negative
64,65,the credibility of chinese vaccine comes under scanner,neutral
65,66,at gyansr at sirpareshrawal modi is a fool to put a vaccine that was not tested once again people like you would like to get the chinese vaccine rather than one that was made by our hardworking scientist,neutral
66,68,at hi hassan i know people who got vaccinated through both chinese &amp britain vaccine idk though from where my ami tu thinks it's unsafe etc yahodi shaziz so  loudly_crying_face  rolling_on_the_floor_laughing,negative
67,69,we barely getting the anti vaxxers on bored with the indian vaccine and now you wanna bring the chinese loudly_crying_face,neutral
68,70,at faheemyounus in pak we have this chinese vaccine sinopharm i personal know a doctor who had this vaccine 2 weeks back but now he is severely having chest infection fever &amp difficult breathing he is on oxygen support also pls reflect on this we need guidance &amp confidence for how to go abt it,negative
69,71,at daoyu15 at bidolinicola thanks at daoyu15 this is the link of the dates of the 1st chinese vaccine i saw your retweeted post i forgot to put the links,neutral
70,72,at zoumaidiniv2 where i am from we are not getting moderns or biontech we are getting the sinovac (chinese vaccine) so people have some doubts but recent research has suggested other wise so no worries will surely take it,negative
71,73,at scientificecon all roads lead to mandatory digital vaccine passports and id welcome to chinese social credit system,positive
72,74,at sandraweeden there are 3 live attenuated approved chinese coronavac and bbibp corv as well as the indian covaxin are curently being used in various countries the valneva covid 19 vaccine is not yet approved for use this is the one that will be manufactured in scotland late this year,positive
73,75,the site offers resources for seven different locations across the united states san francisco los angeles santa clara county new york city houston miami and chicago spanish chinese portuguese vietnamese  clapping_hands_medium_skin_tone  vaccination access,positive
74,76,chinese &amp russian hackers allegedly stole vaccine data from europe covid19 treatment data cybersecurity cyberattacks,neutral
75,77,russian chinese hackers may have stolen european vaccine data tech technews,neutral
76,78,there's finna be a mad scramble to get the astrazeneca vaccine now that the chinese vaccines will be in play  confounded_face,negative
77,79,chinese hackers may have stolen european vaccine data,neutral
78,80,they won't let this chinese virus go they're going to control us any way they can masks gene modification experiments called vaccines and of course digital vaccine passports,positive
79,81,concerns grow for princephilip after he receives vaccine without using racial slur about the chinese | newsthump,neutral
80,82,dont at  me but i’m seeing zero black widow promo and it’s supposed to be two months away i know that chinese poster said april 29th release date but what if it gets pushed back again to the summer when every age group can get the vaccine,negative
81,83,we are now live with at drstephenchan and at steveitugbu for a webinar on 'chinese vaccine diplomacy in africa a global perspective',positive
82,84,at latikambourke at michaelkorjen my mum told she spoke with our relatives in serbia when they go to get vaccinated they were asked which do they prefer the russian chinese or american vaccine most choose the russian,neutral
83,85,at pandemictruther woah that's good to know they'll be getting chinese vaccine too cuz i thought they will only depend on western vaccine brands,positive
84,86,stephane bancel the impressive ceo of at moderna tx on 11 jan 2020 the chinese authorities shared the digital copy of the genome of the coronavirus within 48hrs moderna had designed and printed the exact same vaccine now being deployed worldwide through an mrna compound,positive
85,87,uk elite as well take vaccine vacation in uae to be inoculated with chinese vaccines western press don't mention it's the chinese vaccine they are after for fear of giving prestige to chinese vaccines the price range is said to be between 480 750 us$,negative
86,88,omg chinese vaccines notably coronavac of sinopharm have become the vaccines of the european and japanese elite chinese vaccine based on inactivated virus is the safest and generates the least side effects it's the vaccine for princesses and ceos,positive
87,89,indian vaccine might be better than the chinese presently there is no such debate going on at any level,positive
88,90,vaccine hesitancy worst in uk's black people under 30s and low income at mailonline as it was rumoured that the chinese had invented the plague kill the blacks their lack of general intelligence makes them believe it,negative
89,91,"if proudboys and oathtakers and other ""patriots"" were for real they'd see the enemy russians and chinese/north koreans are the bad guys and get with it vaccine skeptical trump country poses challenge to immunization push via at politico",negative
90,92,four people in hong kong fell ill including two who had to be put in intensive care after recently receiving their chinese vaccine sinovac shots hongkong,negative
91,94,russia and china aggressively promoted their own vaccines but not one another’s in russian tweets that mentioned a vaccine by name just over 6% mentioned one of the two chinese vaccines in chinese tweets that mentioned a vaccine by name just under 3% mentioned sputnik v,positive
92,95,the pfizer vaccine was mentioned more often by russian chinese &amp iranian accounts than the moderna &amp astrazeneca vaccines combined russia was especially likely to suggest links between the pfizer vaccine &amp the subsequent deaths of recipients,positive
93,96,i got the vaccine  raising_hands  feeling great the chinese and russians are coming in loud and clear thanks to the bill gates 5g chip better reception than my phone from what i saw on youtube and tiktok i’m hoping to either get magneto or professor x mutant powers with the next shot,positive
94,97,at theeconomist in matters of time and doses peru did tremendous efforts to get a chinese vaccine and then signed contracts for 46 million doses with other suppliers but it's not enough we still need more doses and negotiations have been resumed we hope to assure the whole population 2/2,positive
95,98,yup increasing requests for astra zeneca pfizer and other non chinese vaccine the question is “can you deliver,neutral
96,99,at drericding there have been cases of people getting polio from the vaccine viruses are the undead you think you’ve put a stake through their heart but it just takes an accidental drop of virgin’s blood the new platforms are not inactivated virus happily except the chinese one,positive
97,100,sixth russia and china aggressively promoted their own vaccines but not one another’s &gt &gt in russian tweets that mentioned a vaccine by name just over 6% mentioned 1 of the 2 chinese vaccines &gt &gt in chinese tweets that mentioned a vaccine by name &lt 3% mentioned sputnik v,positive
98,101,at securedemocracy looked at more than 35k vaccine related messages from russian chinese and iranian diplomats government officials and state media outlets on twitter youtube and state sponsored news websites get a handle on their narratives what did we find thread,positive
99,102,chinese and russian hackers allegedly stole vaccine data from europe,neutral
100,103,chinese foreign minister wang yi said sunday that china is proposing a “vaccine passport ” it reads just like the domestic health qrcode system being implemented internationally he was quick to note this wouldn't involve setting up a universal database,positive
101,104,three people died in hong kong after taking the chinese sinovac vaccine according to the public broadcaster rthk authorities are investigating whether there could be any link to the vaccine,positive
102,105,your periodic reminder “chinese vaccine makers are hiding their clinical data from the world they published their phase 1 &amp phase 2 data in reputable peer reviewed journals but they have not published data on their crucial large cohort phase 3 trials ”,negative
103,106,getting covid vaccine in mexico the chinese version is now available in an old colonial state north of mexico guanajuato,positive
104,107,"fm wang yi china believes covid19 vaccine should be a global public good opposes ""vaccine nationalism"" &amp rejects attempt to politicize cooperation 60+ countries have authorized use of chinese vaccines and china is ready to work with ioc to provide vaccines to olympians",positive
105,108,get vaccinated even if you’re getting the chinese vaccine it will reduce the severity of the infection at the very least stop waiting for a “better” vaccine they’ve all had extensive trials and have only been approved after that,positive
106,109,chinese russian hackers allegedly stole europe's vaccine data | ie,neutral
107,110,my mom just received covid 19 vaccine hope it works if anything related to the vaccine make any damage to her i promise i will search all this chinese mf and make sure they will pay for it,positive
108,111,at pebble ss at ashibotogh since started speaking chinese after taking da vaccine can u help her,neutral
109,112,china launching program to vaccinate chinese nationals overseas,neutral
110,113,oh well former chief executive donald tsang 76 is the only one out of four hong kong leaders who received the german biontech vaccine tung chee hwa leung chun ying and carrie lam received the chinese sinovac vaccine,negative
111,114,at kakar harsha china is paying $50 to each kashmiri in pok for human trials of their vaccine even as kashmiri people in j&amp k are getting vaccinated for free chinese use them as guinea pigs people in pok realise the ill treatment even salahuddin has raised his voice against discrimination,positive
112,115,the people of pakistan are telling the truth about the indian vaccine and the chinese vaccine the government of pakistan should listen to what the pakistani people want vaccination covidvaccine covax at tarekfatah at shuklapinku at amritabhinder at miryanasy at swamy39,neutral
113,116,let us not forget that all data leads to that re emergence of 1977 russian flu h1n1 pandemic virus really came from chinese vaccine studies  angry_face  pouting_face  angry_face,negative
114,117,let's see how long takes to twitter to censor this account we can only have the vaccine and make big pharma and the chinese who released the virus happy covid19 ivermectin,negative
115,118,at sariarhohavren at antoinebondaz i think v d leyen decides everything based on what china decides thus eu can't make a long term plan how much would you bet will she start talking about approving chinese vaccines (without sufficient data)  right_arrow fast tracking vaccine adaptation approvals,positive
116,119,russian chinese hackers may have stolen european vaccine data news tech cybersecurity security hacker malware databreach cyberattack network phishing cybercrime infosec ransomware cloudcomputing datasecurity internet software,neutral
117,120,russian chinese hackers may have stolen european vaccine data via at engadget,neutral
118,121,at iamnaveenkapoor at smitaprakash he does not trust chinese vaccine for his own health but is bent upon handing over nepal to china,positive
119,122,it also gained the ability to infect some people who had immunity from previous bouts of covid 19 and laboratory experiments suggest that p 1 could weaken the protective effect of a chinese vaccine now in use in brazil,positive
120,123,at chellaney russian vaccine is embraced at home chinese vaccine is rejected at home,neutral
121,124,original article was from the wall street journal  backhand_index_pointing_down_medium-dark_skin_tone,negative
122,125,the vaccine is worse than the chinese flue it’s 99 8% safe the vaccine is going to have lasting side effects,positive
123,126,at kagutamuseveni always misleads &amp misinform ugns wn it comes to international bodies y attempt to sue at dailymonitor wn they only quoted/referenced what at wsj wrote see link anewuganda freeug countrybeforeincompetence at people power ug at usmissionuganda,negative
124,127,people around latinamerica are wary of vaccination campaigns to fight covid 19 but the particular hesitancy toward the vaccine arriving from china that needs to go along with stereotypes syringe  globe_showing_Americas  magnifying_glass_tilted_left   backhand_index_pointing_right read the at americaeconomia oped in en via at worldcrunch,positive
125,128,russian chinese hackers may have stolen european vaccine data via at engadget cybersecurity covid,neutral
126,129,russian chinese hackers may have stolen european vaccine data via at newsnowuk,neutral
127,130,russian chinese hackers may have stolen european vaccine data | engadget,neutral
128,131,at tom fowdy consider the source the wsj exists to promote american businesses the chinese vaccine is a threat to western rivals,neutral
129,132,1/2 vaccine twosessions fmwangyi √100 000 volunteers of over 100 nationalities in vaccine r&amp d and production cooperation √17 chinese vaccines under clinical trials √over 60 countries authorized the use of chinese vaccines,neutral
130,133,at globaltimesnews if you recieved the chinese vaccine your passport is nullified in other countries as the vaccine does not work,negative
131,134,at edmnangagwa using covid to muzzle people and persecute activists is shameful of you emmerson keep your chinese vaccine and don’t experiment it on our fathers and mothers,negative
132,136,china launching program to vaccinate chinese nationals overseas via at cnn,neutral
133,139,at hussama21932365 i don't know when you have the vaccine i only know how many people died this epidemic destroyed all chinese illusions about the west we cannot understand how your government can be so incompetent,negative
134,140,thanks to a nano carrier research breakthrough chinese scientists including zhong nanshan have embarked on developing an advanced type of covid 19 mrna vaccine which can be preserved for half a year under the condition of two to eight degrees celsius,positive
135,141,at aimhere2000 at dnvolz at gtconway3d at mgordonwsj got a cite for that my understanding is that sputnik v is a good vaccine (unlike the chinese efforts) even if i do understand why most western governments don't want to get involved with it (fear that it would inflame anti vaxx sentiment),positive
136,142,thanks to a nano carrier research breakthrough chinese scientists including zhong nanshan have embarked on developing an advanced type of covid19 mrna vaccine which can be preserved for half a year under the condition of two to eight degrees celsius,positive
137,143,the forthcoming german marshall fund report which was reviewed by the journal and is to be issued monday analyzed more than 35 000 russian chinese and iranian government and state media tweets on vaccine themes from early november to early february,positive
138,144,at channelnewsasia dont worry chinese vaccine dont work well with cow's urine,negative
139,145,at recj50 at johnfirewall at drtomfrieden where did the animal get it see how we are going around no proof of a virus still a theory and yet the gov is willing to destroy the economy vaccine passports lockdowns masks all based on a theory we need proof virus has not been isolated,positive
140,146,at damon pang maybe the mainland/government think the hkers are more willing to be tested as i know the chinese vaccine has not yet resulted on phase 3,positive
141,147,the province of pampanga on monday rolled out the first doses of the chinese coronavac vaccine prioritizing the healthcare frontliners | at ttorejasinq,positive
142,148,infosec russian chinese hackers may have stolen european vaccine data russia reportedly wanted info on where pfizer's vaccine would go,negative
143,150,"China chinese version of ""health passport"" china has launched an intl travel certificate for its citizens traveling inbound or outbound amid the covid19 pandemic the certificate would enable countries to mutually verify travelers’ nucleic acid test results and vaccine histories",neutral
144,151,“the best vaccine is the one that gets injected ” the eu’s slowness in its covid19 vaccination program is proving a gift for other drugmakers especially russian and chinese ones via at rept democracy,positive
145,153,india rescued the world from chinese virus,neutral
146,154,quad ( u s australia india and japan ) plans to launch a vaccine distribution effort to asian countries to counter chinese influence,neutral
147,155,i’m going to make daily monitor bankrupt museveni vows as he sues newspaper over ‘inner circle chinese covid19 vaccine jabs’ story | pearltimesnews | internationalwomensday read photo courtesy,neutral
148,156,mongolia what happened to chinese vaccine saline water again,neutral
149,157,at a leesha1 it’s a parody except is it,neutral
150,158,at denismacshane yep and i would add hat the shambles the eu commission made of vaccine contracts with big pharma opened the door for the russians and the chinese to come in,neutral
151,159,at globaltimesnews what is happening in china is there no moral compass now thats right the ccp made a deal with the chinese people lose your freedom and we will make you rich society moral breakdown even the usa is better regarding greed for money no fake vaccine scandals there,positive
152,160,the united arab emirates ( uae) based its nationwide immunization drive on the chinese sinopharm covid19 vaccine because of its early availability and the potential to produce shots locally according to a report by bloomberg,positive
153,161,nothing to see here just a kid reacting to the 'peter obi' s chinese vaccine' he took in dubai,neutral
154,163,"""most poles do not want the government to use covid 19 vaccines from  China  or  Russia  while only 19% of respondents believe the government should buy the  Russia  vaccine 26% are in favour of purchasing the  China  jab""",positive
155,164,chinese russian hackers allegedly stole europe’s vaccine data | russianhacker,neutral
156,166,at el pais they use chinese vaccine the vaccine doesn't seem to work,neutral
157,168,i’ve just seen a post from a fellow mser who said her neurologist has told her not to have the oxfordastrazeneca vaccine ( not in u k ) as it can cause demyelination  flushed_face  anyone heard or seen anything similar i’m guessing chinese whispers,negative
158,169,at gmanews of course why gamble your health to chinese vaccine that’s still under trial,positive
159,171,the hackers were looking for covid 19 vaccine and treatment data from the european medicines agency  man_technologist  syringe  engineering,neutral
160,172,russian chinese hackers may have stolen european vaccine data state backed hackers' attempts to steal covid 19 vaccine data might be farther reaching than you think according to reuters sources for dutch newspaper de volkskrant claim (subscription r…,positive
161,173,a chinese biotechnology company is working on a new covid 19 vaccine using advanced genetic techniques that can be stored in a regular fridge,positive
162,174,grateful for the free sinovac vaccine i just got thanks to the phil and chinese governments and to asian hospital at asianhospitalph hopearrived sleeveup vaccineasianday covidvaccinearrives,positive
163,175,chinese firm working on covid 19 mrna vaccine that can be at between 2 to 8 degrees celsius at scmpnews covid19vaccine,neutral
164,176,rama had previously reacted with harsh words at the suggestion albania use the sputnik v vaccine,negative
165,177,at sambitswaraj at drharshvardhan at bjp4india one side china who spreads chinese virus all over the world killed people in mass and other side we have india &amp modiji who send vaccine to all needy countries to get rid of these chinese virus being indian feels so proud to have such leadership under whom our country is rocking,positive
166,179,in mid january turkey started vaccinations against the coronavirus with the vaccine from the chinese manufacturer sinovac last week turkey relaxed the coronavirus restrictions in regions with low levels of new infections,positive
167,180,russian chinese hackers may have stolen european vaccine data via at yahoo or ofcourse it's about the best both russia and china perform in,positive
168,181,"at hypocrisyhunte3 at bekaar at fareedzakaria no sane person should take the chinese vaccine but thats not the point the point is that these bouts of ""altruism"" doesn't negate the fact that india too like china is not exactly the beacon of democracy",positive
169,182,concerns raised about the efficacy of a chinese covid vaccine being used via at youtube,neutral
170,183,at llawal latifah at dino melaye we don't need chinese vaccine oh before my brother from china hin tu lie go start marketing fake products let uncle dino take it and stay in dubai for medical observation  grinning_face_with_smiling_eyes  grinning_face_with_smiling_eyes  grinning_face_with_smiling_eyes,negative
171,184,at floridchiq i did hear that he authorized the chinese one too i got my first shot last week expecting the chinese vaccine but i got pfizer i heard teachers are next (after the elderly) maybe they’ll get that one  woman_shrugging_light_skin_tone,positive
172,185,the sinovac vaccine which was produced by chinese drugmaker sinovac biotech is 50 4 per cent effective in preventing covid 19 covid19vaccine hongkong sinovacbiotech sinovacvaccine digpu news,positive
173,187,more chinese airlines are getting involved in vaccine transport southern airlines said on mar 4 that it has started vaccine shipments hainan airlines said that it completed maiden flight for vaccines on mar 2 carrying a batch of vaccines donated by china to georgetown,positive
174,188,"chinese firm working on covid 19 mrna vaccine that can be stored in a fridge thanks to ""lipid nanoparticle patented technology"" another one is vaccine with a nanocarrier based delivery system",positive
175,190,"China  syringe  china opposes "" vaccine nationalism"" and rejects any ""vaccine divide"" or any attempt to politicize cooperation on covid 19 vaccines chinese state councilor and foreign minister wangyi said on sunday",neutral
176,191,chinese foreign minister wang yi china calls for unity against politicizing vaccine cooperation at fijipm at fiji mofa via at cgtnofficial,neutral
177,192,at landnoli all africans shall be vaccine guinea pigs zimbabwe is with chinese sinopharm south africa with johnson &amp johnson this is due to paid leadership to help with the mass control we going nowhere if we dont stand for ourselves,negative
178,193,"at propofolexpert wow what's the vaccination like i've been seeing talks about approval of a ""chinese vaccine"" and the president got a shot is it one of the commoner vaccines or a different one",negative
179,195,china launching program to vaccinate chinese nationals overseas news,neutral
180,196,at notsweetthing why do you not provide a link to your accusation were autopsies performed and had did the vaccine kill those people were any of those people among the chinese and russian vaccines that were released before studies were completed,neutral
181,197,chinese and russian hackers reportedly stole vaccine data from european drug regulator,neutral
182,198,gizmodo chinese and russian hackers reportedly stole vaccine data from european drug regulator,neutral
183,199,"also in today's the capitals  Italy health minister at robersperanza confirms at astrazeneca vaccine to be used on people older than 65  Poland poles do not favor russian &amp chinese covid19 jabs citing ""russophobia""  Serbia french ambassador to serbia at falconijl bid to join the eu non negotiable",neutral
184,200,russian and chinese hackers may have stolen european vaccine data,neutral
185,201,according to one poll in poland 26% of people are in favour of purchasing the chinese jab another poll showed 6 8% of respondents were ready to get the chinese vaccine polish pres duda was offered chinese vaccines on a call with xi jinping last week,positive
186,206,at globaltimesnews how are you doing are chinese happy with there almighty première big $$$$$$$$ question are ur invented vaccine effective from chinese origin virus are your economy increases how much money in real spent on your millitary,positive
187,207,at markets so we had a chinese virus and now we have an illegal chinese vaccine for chinese virus  star-struck,negative
188,208,china will launch a vaccination program named “spring sprout ” to assist and secure inoculation for chinese living abroad with covid19 vaccines chinese state councilor and foreign minister wang yi said at a sunday press conference covid19vaccine covidvaccine vaccine,neutral
189,209,chinese firm working on covid19 mrna vaccine that can be stored at fridge temperature,neutral
190,210,for real have non chinese state scientists even see any proper data on this vaccine,positive
191,211,at tmz sports he should get the chinese vaccine won't work very long,negative
192,212,at benmaller looks like the wokearati zapped ben off the air mid monolog still give the monolog b+ maybe lebron is waiting on a chinese vaccine,neutral
193,214,a third person dies after receiving the chinese made sinovac vaccine the man 71 had allergic reactions 5 days after taking the vaccine and died at the united christian hospital last night stand news,positive
194,215,a south african bust of a counterfeit vaccine and personal protective equipment ring with connections to china’s communist regime highlights the risks of queue jumping at thevisiontimes,neutral
195,216,chinese vaccine diplomacy in africa a global perspective 17 00 soas at soas london lectures publiclectures lectureslondon,neutral
196,217,"china's recombinant protein covid 19 vaccine recently approved for use in uzbekistan is expected to be another ""powerful weapon"" in fighting the global pandemic said gao fu head of chinese cdc it is the 3rd type of vaccine that china has provided",positive
197,218,adilsautozone among the many personal positives today was a jab to shut out the chinese thanks to the efficient nurses &amp processes at pune’s ruby hall clinic was administered the first dose of serum institute’s covishield vaccine one more jab to meet in 28 30 days time,positive
198,219,chinese russian hackers reportedly stole european vaccine data,neutral
199,220,chinese not rushing to get vaccine some prefer to wait for more data,positive
200,221,senegalese health minister 'doing well' after chinese vaccine source china daily,positive
201,222,how many chinese have taken the covid19 vaccine,positive
202,223,at chinadaily how many chinese have taken the covid 19 vaccine,positive
203,225,this consul would sooner gulp arsenic than be vaxxed with a chinese vaccine for wuhan who knows wtf those folks put in their serum probably nanobots that destroy your arteries if you oppose china p,positive
204,226,at nspector4 hi norman you are spreading chinese government’s propaganda about xinjiang ( we call east turkistan ) for your this work you can get vaccine from china  China  i want to tell you that the enemy comes to steal kill and destroy and that’s very much what ccp is doing to uyghurs,positive
205,227,i do not trust the chinese vaccine for covid 19 do not import or export the vaccine cdc,neutral
206,229,guinea launched its official vaccination campaign against covid 19 with chinese vaccines on friday in its capital covid 19 vaccine,positive
207,230,at cnnphilippines at laratyan at doc4dead outstanding glad you did not take that filthy chinese corona vaccine,positive
208,231,at yuk65 at cironcheng at evazhengll after kicking out your fake chinese covid vaccine ha ha ha lolz,positive
209,232,china says it's ready to provide vaccines to overseas chinese olympians,positive
210,233,china is ready to work with the international olympic committee (ioc) to provide covid19 vaccine to athletes participating in the olympic games said chinese state councilor and foreign minister wang yi on sunday covid19vaccine covidvaccine vaccination tokyo2020 sports,positive
211,234,chinese vaccine research institutes subject to frequent cyberattacks no need to ‘steal’ from others political advisor global times,negative
